ID,Continent
d0c5aa3c-20d0-4063-82dd-27933358d01d,United States
43965e95-838d-4bdf-a829-fee03b037e69,Canada
56da8d8a-9c85-40d4-963e-ae63833133b5,United Kingdom
eb3c4ecc-f5cd-418d-bf0f-cc84f91e78fe,France
3fef5078-7017-4e5c-9b99-0875095c0541,Germany
b2c50cb3-28d9-448f-a5af-2f85c1077e15,Italy
c1debb7c-3451-4a7d-8d74-27a9b29937ba,Spain
bbe12f41-84df-4871-8ae5-64bebc7a231a,Japan
8b7b0804-777c-4f65-b40f-17f7a09565f3,China
bc905650-58fc-49c8-85d5-836124df8059,India
03857e78-2506-4d89-9d73-ecc85c2120ad,Brazil
