ID,Title,Description,Images,ReleaseDate,Rating,director_ID,genre_ID,language_ID,
3b49f31c-ef8d-47f5-96cb-d3c55ad8c297,Rogue Agent,The extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going,https://m.media-amazon.com/images/M/MV5BYjdkZjE4MzUtMzBhYy00ZGIwLWFmYmYtNzI4NzY1ZjRlYzUzXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_.jpg,12.08.2022,6,b13623fd-5313-4c80-8e3a-02b240a8a30a,b95f9fa7-dc14-498a-8348-bb5ff1687836,e868ce98-bd22-4eaa-8897-61296454abfd,
667b1220-7677-4eee-a9fb-871b2423b706,The Matrix,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers,https://m.media-amazon.com/images/M/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg,03.31.1999,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,b95f9fa7-dc14-498a-8348-bb5ff1687836,e868ce98-bd22-4eaa-8897-61296454abfd,
bc5d3277-2cc3-4f8a-a91f-e6447b2f4386,Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles,https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,07.20.1988,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,b95f9fa7-dc14-498a-8348-bb5ff1687836,e868ce98-bd22-4eaa-8897-61296454abfd,
0018567a-55b5-473e-a47e-471832af6f7c,Mad Max Fury Road,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland with the help of a group of female prisoners a psychotic worshiper and a drifter named Max,https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,05.15.2015,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,b95f9fa7-dc14-498a-8348-bb5ff1687836,e868ce98-bd22-4eaa-8897-61296454abfd,
cbfb08fc-66d8-47ba-a3a0-245de96542f7,John Wick,An ex-hitman comes out of retirement to track down the gangsters that took everything from him,https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_.jpg,10.24.2014,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,b95f9fa7-dc14-498a-8348-bb5ff1687836,e868ce98-bd22-4eaa-8897-61296454abfd,
5e0d7a58-aa85-4514-bb2e-bf34b5d344c6,The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,07.18.2008,9,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
3a94e467-2eba-46e5-88ce-fc007fd4f8c5,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry,https://m.media-amazon.com/images/M/MV5BY2VkMDg4ZTYtN2M3Yy00NWZiLWE2ODEtZjU5MjZkYWNkNGIzXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_.jpg,08.17.2007,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
dcac06b6-f420-4d7b-b5fb-fa4fba7f1aba,The Hangover,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing,https://m.media-amazon.com/images/M/MV5BNGQwZjg5YmYtY2VkNC00NzliLTljYTctNzI5NmU3MjE2ODQzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,06.05.2009,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
4a74ef6e-7d24-4772-974f-c0a105cb2687,The Legend of Ron Burgundy,Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor,https://m.media-amazon.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_.jpg,07.09.2004,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
838a297d-65ff-4d22-a94d-d88e7c838179,The Grand Budapest Hotel,A writer encounters the owner of an aging high-class hotel who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge,https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_FMjpg_UX1000_.jpg,03.28.2014,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
ceb06f7b-c7ac-4ef7-afe1-2e9b845af271,The Shawshank Redemption,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,10.14.1994,9,b13623fd-5313-4c80-8e3a-02b240a8a30a,59f94c31-a397-4f7f-a888-14279790c99c,e868ce98-bd22-4eaa-8897-61296454abfd,
6bf697ee-0ada-4b2e-84a4-7973011871f5,Forrest Gump,The presidencies of Kennedy and Johnson the events of Vietnam Watergate and other historical events unfold from the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,07.06.1994,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,f6f8448b-f213-4ae5-89b8-9f65d1c57975,e868ce98-bd22-4eaa-8897-61296454abfd,
bc84c0aa-e365-488a-bf4c-8a5a3c6a368c,Schindler's List,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,02.04.1994,9,b13623fd-5313-4c80-8e3a-02b240a8a30a,f6f8448b-f213-4ae5-89b8-9f65d1c57975,e868ce98-bd22-4eaa-8897-61296454abfd,
1248d569-1ffc-41a9-a64d-931e523f9a97,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg,03.24.1972,9,b13623fd-5313-4c80-8e3a-02b240a8a30a,f6f8448b-f213-4ae5-89b8-9f65d1c57975,e868ce98-bd22-4eaa-8897-61296454abfd,
6c75d7c8-8d8e-4d44-a718-4aa402ac31f3,Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,07.16.2010,9,b13623fd-5313-4c80-8e3a-02b240a8a30a,2790c9ee-1c4c-4050-b3e3-b64da5521538,e868ce98-bd22-4eaa-8897-61296454abfd,
d097039d-6adf-4783-ab9b-3732ff51c898,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator,https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_.jpg,06.25.2017,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,2790c9ee-1c4c-4050-b3e3-b64da5521538,e868ce98-bd22-4eaa-8897-61296454abfd,
2cc3f4da-0bb6-4930-8d81-ae3e581fd255,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,11.07.2014,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,2790c9ee-1c4c-4050-b3e3-b64da5521538,e868ce98-bd22-4eaa-8897-61296454abfd,
7c2a505f-ccd8-4046-b2ea-acd20d0dfca4,E.T. the Extra-Terrestrial,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,06.11.1982,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,2790c9ee-1c4c-4050-b3e3-b64da5521538,e868ce98-bd22-4eaa-8897-61296454abfd,
91965c7a-0e0c-4693-a842-ad625e871ce3,The Terminator,A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation,https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,10.26.1984,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,052c9516-d6c1-41b1-a7b4-55047fa2bc1a,e868ce98-bd22-4eaa-8897-61296454abfd,
72a08efa-fd14-45df-af2d-656b23668bc1,The Exorcist,When a teenage girl is possessed by a mysterious entity her mother seeks the help of two priests to save her daughter,https://m.media-amazon.com/images/M/MV5BYWFlZGY2NDktY2ZjOS00ZWNkLTg0ZDAtZDY4MTM1ODU4ZjljXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg,12.26.1973,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
113f9eeb-6bb0-4c7b-8750-b6d77744df25,Psycho,A Phoenix secretary embezzles $40000 from her employer's client goes on the run and checks into a remote motel run by a young man under the domination of his mother,https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,09.08.1960,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,e41bfe9c-e768-4b05-a54d-c9c4e1fa0181,e868ce98-bd22-4eaa-8897-61296454abfd,
3b7f2640-83cb-47cd-8c3d-6a737b7af290,The Shining,A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future,https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,06.13.1980,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
9ec96163-3019-4840-abfc-5facb65ce92d,Get Out,A young African-American visits his white girlfriend's parents for the weekend where his simmering uneasiness about their reception of him eventually reaches a boiling point,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_.jpg,02.24.2017,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
ec6b9527-a5d9-4a56-8f1c-73cad0b5e685,A Nightmare on Elm Street,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death,https://m.media-amazon.com/images/M/MV5BODIxMTQ0NTIxM15BMl5BanBnXkFtZTcwMzY1NDAyMw@@._V1_FMjpg_UX1000_.jpg,11.16.1984,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
481cffa7-d2ea-48e3-8822-0b88d1aae27c,Titanic,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg,12.19.1997,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
94c6d06c-13e3-46dc-ba63-f82475a91a73,Pride and Prejudice,Sparks fly when spirited Elizabeth Bennet meets single rich and proud Mr. Darcy,https://m.media-amazon.com/images/M/MV5BMTA1NDQ3NTcyOTNeQTJeQWpwZ15BbWU3MDA0MzA4MzE@._V1_.jpg,11.23.2005,7,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
1422be14-c707-46fa-8c8a-ff7632013663,The Notebook,A poor yet passionate young man falls in love with a rich young woman giving her a sense of freedom but they are soon separated because of their social differences,https://m.media-amazon.com/images/M/MV5BNzc3Mzg1OGYtZjc3My00Y2NhLTgyOWUtYjRhMmI4OTkwNDg4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_.jpg,06.25.2004,8,b13623fd-5313-4c80-8e3a-02b240a8a30a,40d545c2-9a56-4f53-98f9-cfe1b66f5093,e868ce98-bd22-4eaa-8897-61296454abfd,
